Name,latitude,longitude,family,20A Fusion of Selected Inflectional Formatives,21A Exponence of Selected Inflectional Formatives,21B Exponence of Tense-Aspect-Mood Inflection,22A Inflectional Synthesis of the Verb,23A Locus of Marking in the Clause,24A Locus of Marking in Possessive Noun Phrases,25A Locus of Marking: Whole-language Typology,25B Zero Marking of A and P Arguments,27A Reduplication,28A Case Syncretism,29A Syncretism in Verbal Person/Number Marking,30A Number of Genders,34A Occurrence of Nominal Plurality,39A Inclusive/Exclusive Distinction in Independent Pronouns,40A Inclusive/Exclusive Distinction in Verbal Inflection,41A Distance Contrasts in Demonstratives,42A Pronominal and Adnominal Demonstratives,44A Gender Distinctions in Independent Personal Pronouns,45A Politeness Distinctions in Pronouns,47A Intensifiers and Reflexive Pronouns,48A Person Marking on Adpositions,51A Position of Case Affixes,52A Comitatives and Instrumentals,54A Distributive Numerals,55A Numeral Classifiers,58A Obligatory Possessive Inflection,59A Possessive Classification,61A Adjectives without Nouns,63A Noun Phrase Conjunction,65A Perfective/Imperfective Aspect,66A The Past Tense,67A The Future Tense,68A The Perfect,69A Position of Tense-Aspect Affixes,70A The Morphological Imperative,72A Imperative-Hortative Systems,73A The Optative,76A Overlap between Situational and Epistemic Modal Marking,77A Semantic Distinctions of Evidentiality,79A Suppletion According to Tense and Aspect,NumBlanks
Arapesh (Abu),-3.45,142.95,Torricelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Aari,6,36.58333333,Afro-Asiatic,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Abau,-4,141.25,Sepik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Arabic (Chadian),13.83333333,20.83333333,Afro-Asiatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Second singular and second plural,,,,,,39
Abidji,5.666666667,-4.583333333,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Arabic (Beirut),33.91666667,35.5,Afro-Asiatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Arabic (Bahrain),26,50.5,Afro-Asiatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Abipón,-29,-61,Guaicuruan,1 Exclusively concatenative,5 No case,1 monoexponential TAM,,,,,,,1 No case marking,2 Syncretic,,,3 No inclusive/exclusive,2 'We' the same as 'I',,,6 No gender distinctions,,,2 No person marking,9 No case affixes or adpositional clitics,,,,,,,,2 No grammatical marking,4 No past tense,2 No inflectional future,4 No perfect,2 Tense-aspect suffixes,,,,,1 No grammatical evidentials,,24
Abkhaz,43.08333333,41,Northwest Caucasian,1 Exclusively concatenative,5 No case,1 monoexponential TAM,6 10-11 categories per word,1 Head marking,1 Head marking,1 Head-marking,2 Non-zero marking,1 Productive full and partial reduplication,1 No case marking,3 Not syncretic,3 Three,"6 All nouns, always obligatory",5 Inclusive/exclusive,3 No inclusive/exclusive,2 Two-way contrast,1 Identical,1 In 3rd person + 1st and/or 2nd person,,2 Differentiated,4 Pronouns and nouns,9 No case affixes or adpositional clitics,2 Differentiation,7 Marked by mixed or other strategies,1 Absent,2 Absent,1 No possessive classification,2 Without marking,1 'And' different from 'with',1 Grammatical marking,"1 Present, no remoteness distinctions",1 Inflectional future exists,3 Other perfect,2 Tense-aspect suffixes,1 Second singular and second plural,4 Neither type of system,1 Inflectional optative present,2 Overlap for either possibility or necessity,2 Indirect only,1 Tense,1
Alabama,32.33333333,-87.41666667,Muskogean,,,,,,,,,1 Productive full and partial reduplication,,,,,,,,,,,,,,,,,,,,1 'And' different from 'with',,,,,,,,,,2 Indirect only,,37
Arabana,-28.25,136.25,Pama-Nyungan,,,,,,,,,,,,1 None,,,,3 Three-way contrast,1 Identical,6 No gender distinctions,,,1 No adpositions,1 Case suffixes,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,4 None,32
Arbore,5,36.75,Afro-Asiatic,,,,,,,,,,,,2 Two,,,,,,,,,,,,,1 Absent,,,,,,,,,,,,,,,,38
Abun,-0.5,132.5,West Papuan,,,,,,,,,,,,,1 No nominal plural,,,,,3 3rd person singular only,1 No politeness distinction,,2 No person marking,9 No case affixes or adpositional clitics,,,3 Obligatory,,,,,,,,,5 No tense-aspect inflection,5 No second-person imperatives,,,,,,32
Abui,-8.25,124.6666667,Timor-Alor-Pantar,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Abenaki (Western),44,-72.25,Algic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Abaza,44,42,Northwest Caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Inflectional optative present,,,,39
Acehnese,5.5,95.5,Austronesian,,,,,1 Head marking,1 Head marking,1 Head-marking,2 Non-zero marking,,,,,1 No nominal plural,,,3 Three-way contrast,1 Identical,6 No gender distinctions,,,2 No person marking,9 No case affixes or adpositional clitics,,,,,,,2 'And' identical to 'with',,,,,5 No tense-aspect inflection,5 No second-person imperatives,,,2 Overlap for either possibility or necessity,,,26
Achagua,4.416666667,-72.25,Arawakan,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,2 Differentiation,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,37
Aché,-25.25,-55.16666667,Tupian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Achí,15.16666667,-90.5,Mayan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Acholi,3,32.66666667,Eastern Sudanic,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,1 Identity,,,,,,2 'And' identical to 'with',,,,,1 Tense-aspect prefixes,1 Second singular and second plural,,,,,,35
Achumawi,41.5,-121,Hokan,,,,,,,,,,,,,,,,,,6 No gender distinctions,,,1 No adpositions,1 Case suffixes,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,2 Indirect only,,35
Achang,25,98.5,Sino-Tibetan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Acoma,34.91666667,-107.5833333,Keresan,1 Exclusively concatenative,5 No case,2 TAM+agreement,3 4-5 categories per word,1 Head marking,1 Head marking,1 Head-marking,2 Non-zero marking,,1 No case marking,3 Not syncretic,1 None,"4 All nouns, always optional",1 No 'we',2 'We' the same as 'I',3 Three-way contrast,1 Identical,,1 No politeness distinction,,2 No person marking,,2 Differentiation,,1 Absent,1 Exists,1 No possessive classification,,,2 No grammatical marking,4 No past tense,2 No inflectional future,4 No perfect,2 Tense-aspect suffixes,1 Second singular and second plural,4 Neither type of system,2 Inflectional optative absent,3 No overlap,3 Direct and indirect,4 None,7
Achuar,-2.66667,-76,Jivaroan,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,,,,,,,2 Tense-aspect suffixes,1 Second singular and second plural,1 Maximal system,,,,,36
Adamorobe Sign Language,5.833333333,-0.166666667,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Adang,-8.2,124,Timor-Alor-Pantar,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,5 No tense-aspect inflection,,,,,,,38
Adioukrou,5.416666667,-4.583333333,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,1 Tense-aspect prefixes,,,,,,,38
Andoke,-0.666666667,-72,Andoke,,,,,,,,,3 No productive reduplication,,,,,,,,,,,,,1 Case suffixes,1 Identity,,,,,,1 'And' different from 'with',,,,,,1 Second singular and second plural,,,,3 Direct and indirect,,34
Adynyamathanha,-30.5,139.5,Pama-Nyungan,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Adyghe (Temirgoy),45.21666667,39.7,Northwest Caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Inflectional optative present,,,,39
Adyghe (Abzakh),45.23333333,40.58333333,Northwest Caucasian,,,,,,,,,,,,,"6 All nouns, always obligatory",,,,,,,,,1 Case suffixes,,,,,,,,,,,,,,,,,,,38
Adzera,-6.25,146.25,Austronesian,,,,,,,,,,,,,,,,,,6 No gender distinctions,,,2 No person marking,,,,,,,,,,,,,,,,,,,,38
Aleut (Eastern),54.75,-164,Eskimo-Aleut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Maximal system,,,,,39
Arabic (Egyptian),30,31,Afro-Asiatic,6 Ablaut/concatenative,5 No case,3 TAM+agreement+diathesis,4 6-7 categories per word,4 No marking,4 No marking,5 Inconsistent or other,2 Non-zero marking,1 Productive full and partial reduplication,1 No case marking,2 Syncretic,2 Two,"6 All nouns, always obligatory",3 No inclusive/exclusive,3 No inclusive/exclusive,2 Two-way contrast,1 Identical,1 In 3rd person + 1st and/or 2nd person,1 No politeness distinction,,3 Pronouns only,9 No case affixes or adpositional clitics,2 Differentiation,1 No distributive numerals,1 Absent,2 Absent,1 No possessive classification,,1 'And' different from 'with',1 Grammatical marking,"1 Present, no remoteness distinctions",1 Inflectional future exists,4 No perfect,4 Mixed type,1 Second singular and second plural,4 Neither type of system,2 Inflectional optative absent,1 Overlap for both possibility and necessity,1 No grammatical evidentials,4 None,2
Arabic (Eastern Libyan),32,22,Afro-Asiatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Afrikaans,-31,22,Indo-European,,,,,,,,,,,,,,,,2 Two-way contrast,1 Identical,,,1 Identical,,,1 Identity,1 No distributive numerals,,,,,,2 No grammatical marking,"1 Present, no remoteness distinctions",2 No inflectional future,"2 From 'finish', 'already'",,,,,,2 Indirect only,,30
Agarabi,-6.166666667,146,Trans-New Guinea,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,,,,,,,2 Tense-aspect suffixes,4 Second person number-neutral,,,,,,37
Leggbó,6,8,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Agta (Central),17.96666667,121.8333333,Austronesian,,,,,,,,,1 Productive full and partial reduplication,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,4 Mixed type,,,,,,,37
Agta (Dupaningan),18,122.0833333,Austronesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Aghem,6.666666667,10,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Aghul,41.75,47.66666667,Nakh-Daghestanian,,,,,,,,,3 No productive reduplication,,,,,,,,,,,,,,,7 Marked by mixed or other strategies,,,,,,,,,,,,,1 Inflectional optative present,,,,37
Angami,25.66666667,94.5,Sino-Tibetan,,,,,,,,,,,,,,,,,,,,,,,,2 Marked by reduplication,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
